iso3,q10newt,min,max
MEX,11,0,2900
MEX,12,2901,3600
MEX,13,3601,5800
MEX,14,5801,8700
MEX,15,8701,
GTM,21,0,350
GTM,22,351,900
GTM,23,901,1650
GTM,24,1651,3400
GTM,25,3401,
SLV,31,0,195
SLV,32,196,350
SLV,33,351,480
SLV,34,481,620
SLV,35,621,
HND,41,0,700
HND,42,701,2000
HND,43,2001,4400
HND,44,4401,8500
HND,45,8501,
NIC,51,0,1400
NIC,52,1401,4000
NIC,53,4001,6000
NIC,54,6001,9000
NIC,55,9001,
CRI,61,0,200000
CRI,62,200001,381000
CRI,63,381001,601000
CRI,64,601001,998000
CRI,65,998001,
PAN,71,0,180
PAN,72,181,330
PAN,73,331,550
PAN,74,551,910
PAN,75,911,
COL,81,0,500000
COL,82,500001,850000
COL,83,850001,1400000
COL,84,1400001,2300000
COL,85,2300001,
ECU,91,0,120
ECU,92,121,270
ECU,93,271,390
ECU,94,391,620
ECU,95,621,
BOL,101,0,1000
BOL,102,1001,1800
BOL,103,1801,2600
BOL,104,2601,4100
BOL,105,4101,
PER,111,0,350
PER,112,351,840
PER,113,841,1200
PER,114,1201,1850
PER,115,1851,
PRY,121,0,1400000
PRY,122,1400001,2000000
PRY,123,2000001,4500000
PRY,124,4500001,7000000
PRY,125,7000001,
CHL,131,0,275000
CHL,132,275001,375000
CHL,133,375001,550000
CHL,134,550001,825000
CHL,135,825001,
URY,141,0,34400
URY,142,34001,50100
URY,143,50001,68400
URY,144,68401,98800
URY,145,98001,
BRA,151,0,900
BRA,152,901,1200
BRA,153,1201,1800
BRA,154,1801,3000
BRA,155,3001,
ARG,171,0,22000
ARG,172,22001,24000
ARG,173,34001,48000
ARG,174,48001,74000
ARG,175,74001,
DOM,211,0,4700
DOM,212,4701,9500
DOM,213,9501,15000
DOM,214,15001,25500
DOM,215,25501,
HTI,221,0,2800
HTI,222,2801,5500
HTI,223,5501,9000
HTI,224,9001,18000
HTI,225,18001,
JAM,231,0,30000
JAM,232,31001,40000
JAM,233,40001,60000
JAM,234,60001,80000
JAM,235,80001,
GUY,241,0,23000
GUY,242,23001,44000
GUY,243,44001,64000
GUY,244,64001,103000
GUY,245,103001,
