"iso3","count_respondents","scope","gender","quintile","indicator","value"
"ARG",1530,"country","all","total","twe_usd_pc",3.46039208519173
"ARG",1530,"country","all","total","twe_usd",9.70291300448395
"ARG",1530,"country","all","total","access_water_piped_home",61.2752983180542
"ARG",1530,"country","all","total","access_water_piped_plot",3.17823721008523
"ARG",1530,"country","all","total","water_on_premises",10.1234453531173
"ARG",1530,"country","all","total","water_distr",83.2974147884548
"ARG",1530,"country","all","total","consume_distr",64.4535355281394
"ARG",1530,"country","all","total","consume_other",1.84595164680113
"ARG",1530,"country","all","total","consume_bottled",22.4207577164872
"ARG",1530,"country","all","total","consume_delivered",0.366341249612453
"ARG",1530,"country","all","total","consume_impspring",0
"ARG",1530,"country","all","total","consume_impwell",8.86738966553611
"ARG",1530,"country","all","total","consume_publictap",1.17121518801589
"ARG",1530,"country","all","total","consume_rain",0.150259804781094
"ARG",1530,"country","all","total","consume_unimproved",0.724549200626749
"ARG",1530,"country","all","total","ou_bottled",0.119259972582005
"ARG",1530,"country","all","total","ou_delivered",0.3062390363431
"ARG",1530,"country","all","total","ou_distr",82.4116669372741
"ARG",1530,"country","all","total","ou_impspring",0.0774022350465251
"ARG",1530,"country","all","total","ou_impwell",12.9273602570295
"ARG",1530,"country","all","total","ou_other",1.82674340980488
"ARG",1530,"country","all","total","ou_publictap",1.3080119050104
"ARG",1530,"country","all","total","ou_rain",0.167362432424549
"ARG",1530,"country","all","total","ou_unimproved",0.855953814484997
"ARG",1530,"country","all","total","san_ecolatrine",0.181225076714202
"ARG",1530,"country","all","total","san_exclusive",95.6377112212256
"ARG",1530,"country","all","total","san_implatrine",4.9227082723531
"ARG",1530,"country","all","total","san_other",2.66682784991879
"ARG",1530,"country","all","total","san_septic",39.1200340910606
"ARG",1530,"country","all","total","san_sewer",52.4395497056156
"ARG",1530,"country","all","total","san_unimp",0.193670985325004
"ARG",1530,"country","all","total","improved_w_access",97.4294991525721
"ARG",1530,"country","all","total","water_daily",79.3687764884313
"ARG",1530,"country","all","total","w_dist_treatment",20.0315340275301
"ARG",1530,"country","all","total","w_treatment",30.8910102817954
"ARG",1530,"country","all","total","reason_w_treatment_taste",3.40060101569618
"ARG",1530,"country","all","total","reason_w_treatment_color",1.61148294999466
"ARG",1530,"country","all","total","reason_w_treatment_quality",13.1036844956284
"ARG",1530,"country","all","total","reason_w_treatment_continuity",0.502059205813967
"ARG",1530,"country","all","total","we_piped_water",1109.77262657525
"ARG",1530,"country","all","total","we_bottled",1429.69442310011
"ARG",1530,"country","all","total","we_trucked",0
"ARG",1530,"country","all","total","satisfied_service",0
"ARG",1530,"country","all","total","unsatisfied_service",0
"ARG",1530,"country","all","total","improved_san",96.6635171457436
"ARG",1530,"country","all","total","no_san_access",0.475984019012624
"ARG",1530,"country","all","total","open_def",0
"ARG",1530,"country","all","total","sewage_treated",12.4786766264927
"ARG",1530,"country","all","total","sewage_contaminates",6.78944628873543
"BOL",1478,"country","all","total","twe_usd_pc",3.04152125095911
"BOL",1478,"country","all","total","twe_usd",12.1277705451691
"BOL",1478,"country","all","total","access_water_piped_home",60.3162334660047
"BOL",1478,"country","all","total","access_water_piped_plot",6.79089566637863
"BOL",1478,"country","all","total","water_on_premises",10.5569741318654
"BOL",1478,"country","all","total","water_distr",77.7627350862397
"BOL",1478,"country","all","total","consume_distr",67.1071291323834
"BOL",1478,"country","all","total","consume_other",6.52228536725236
"BOL",1478,"country","all","total","consume_bottled",13.611663645929
"BOL",1478,"country","all","total","consume_delivered",1.57479126704074
"BOL",1478,"country","all","total","consume_impspring",0.889545048948324
"BOL",1478,"country","all","total","consume_impwell",5.60436719535722
"BOL",1478,"country","all","total","consume_publictap",1.41185303852816
"BOL",1478,"country","all","total","consume_rain",0.491576444309184
"BOL",1478,"country","all","total","consume_unimproved",2.78678886025169
"BOL",1478,"country","all","total","ou_bottled",0
"BOL",1478,"country","all","total","ou_delivered",2.60503918983445
"BOL",1478,"country","all","total","ou_distr",75.3728424796078
"BOL",1478,"country","all","total","ou_impspring",0.819133989812385
"BOL",1478,"country","all","total","ou_impwell",6.63062101813741
"BOL",1478,"country","all","total","ou_other",8.35732017690966
"BOL",1478,"country","all","total","ou_publictap",2.09940809107624
"BOL",1478,"country","all","total","ou_rain",0.336713185111295
"BOL",1478,"country","all","total","ou_unimproved",3.77892186951074
"BOL",1478,"country","all","total","san_ecolatrine",0.750520555382
"BOL",1478,"country","all","total","san_exclusive",85.1787651196587
